,Rating
SOFIE SLOTSGAARD,1511.7471674677424
EDUARDO PEREIRA GUIMARAES,1492.5291333144057
SOFIA ALEJANDRA DAGOSTINO,1482.4538381934908
GRAVELY CLARA,1515.1295218605571
TOMAS BODETTO,1490.5828417200205
CHRISTIE OLIVIA,1572.7783885030067
ZITONG SHANG,1359.7509002840127
ANDELA DE MICHELI VITTURI,1463.763712237248
LUIS ANDRE CASTRO,1487.1237279090003
MANUEL CADARSO,1480.0966939515524
EVIE SAUNDERS,1534.1479568018794
CORALIE VITTECOQ,1585.9692902947565
TOMAS PAGLINI,1520.0755440847756
AISLING KELLER,1520.562095301336
FRANCESCA FRAZZA,1393.980233104438
ANDRES FONTAN,1426.9710763094101
NAUMENKO SOFIIA,1425.4464030898664
COUVERT DEWI,1500.7909979435974
THEA LUBAC,1563.544981083818
JOHAN FELIPPES,1476.3129170981895
CALDECOAT PAIGE,1415.4334054255896
LAURA BO VOSS,1458.1273648409344
WANNES VAN LAER,1560.8017582599482
COSENTINO LAURA,1364.6315447274992
ANDREA NORDQUIST,1384.5879614705311
MARTIN IBANEZ,1470.907511692784
ANNA POHLAK,1297.6781358300827
ANA CAROLINA ROTH,1435.7464885668967
CELINE THERESE HERUD,1450.9640074904555
EDY BRANZ,1456.418929353308
LAURA OLIVA VIDAL,1476.8410267376248
ADRIANA PENRUDDOCKE,1559.6758671507964
MOHAMAD LATIF NUR ALIA AMERA,1501.2467422602642
ERICA PARTANEN,1269.9468815088128
FERNANDO ROCHA,1460.0967008819732
NANCY HIGHFIELD,1526.6797182538423
MARIA JOSE PONCELL,1391.6200293211236
HECTOR DAVID,1418.3783385539152
CORINNE PETERS,1406.6609780161148
LUANA BRUNA SILVA,1454.6912954765678
DANTE VOLKER,1386.218153537945
LINDA HENSEL,1501.96594691357
BAUZA ROIG AINA,1356.2412039519518
JOAO PEDRO OLIVEIRA,1449.2858900711624
JILLIAN LEE,1462.3958501603724
DANIELA RIVERA,1398.116554411656
BRUNO GRUNWALDT,1487.517404549893
BAUTISTA BECERRA,1435.6522495071083
PAULINA CZUBACHOWSKA,1447.5889290227012
ENGBERTS JUDITH,1462.9276679603133
THOMPSON CLEMENTINE,1502.2147337650495
SYLVIE STANNAGE,1516.6596169078703
MATTEO WALLAU,1430.0966939515527
CARLY BROUSSARD,1450.2844249099826
BEREZA EKATERINA,1478.4147933429692
VERONICA JORDANA,1424.541138395997
CAROLINE SOFIA ROSMO,1493.5939851638614
RIZZARDI CARLOTTA,1582.6137282672182
BALAS URSULA,1537.1190199320695
JOAO PEDRO MEDEIROS,1427.6642684495407
AGUSTIN SAGUIER,1366.7499279151796
HANNAH VAN GOOR,1353.4181806749787
KAMOLWAN CHANYIM,1340.8539983159947
MARLENA BERZINS,1420.1481523054758
AUGUSTO MOREIRA,1468.9127533871026
FEDERICO ISERN,1370.46106366481
SHEILA MARTINEZ ARJONA,1436.636094542775
SOFIIA LARYCHEVA,1335.1401088064206
INES GMATI,1371.4785065407002
TOMAS IBARBOURE,1464.261590596405
PROVELENGIOU AMALIA,1347.7490034724274
SANKO EKATERINA,1431.284316883176
RADULIC MAILYS,1462.2822422740653
IGNACIO FRIAS,1407.8744717293305
ALINA SHAPOVALOVA,1500.0
STEPHANIE DEVAUX-LOVELL,1475.2464520473786
ALCIR CACHAPUZ,1411.4480522333245
ANNABELLE RENNIE-YOUNGER,1429.2855092789398
MATEO PARODI,1459.6104278057076
BOROVKOVA ELIZAVETA,1452.6371303932274
LIHUEL GOMEZ LACCHINI,1402.3189161737748
ELVIN CHLOE,1506.6350915932821
PETEH TEA,1552.8974825703026
MORALES GONZALEZ SILVIA,1513.3590898099646
HALLIE SCHIFFMAN,1536.4277001582786
FILIPE TORRES,1406.042646827919
SANTOS BARBERO,1454.95926501501
HYEWON JUNG,1454.0369749457143
JUAN BARTOLOME CHA VACCARI,1396.7633606182192
CONRADI PIA,1500.703508519905
MARIA MARTINEZ,1477.6322994466052
MARIA VITTORIA ARSENI,1524.3260539988746
LEONARDO PATANE,1400.6372414225136
LILIENTHAL MIA MARIN,1296.6862140256171
VICTORIA CASTANO,1450.3081022243125
FREDERIKSEN LAURA KRAGH,1414.7001469075328
JOAO CAROLINA,1468.2278118256388
JOSE LUIZ FRAQUELLI,1317.9796697929457
DENIZ DONERTAS,1415.9127420993677
SOPHIA MONTGOMERY,1514.4583037286545
ANNA WEIS,1410.8478051916723
RHEANNA PAVEY,1497.3852564445763
CARLOS PALOMBO,1445.656939433615
MARLENE RIQUELME ANTONETTI,1385.6522495071079
BRISTULF NOREN CAROLINE,1503.102679553555
BERGAMO FRANCESCA,1442.9518726234148
VALERIA LOMATCHENKO,1420.423176220089
LU WEIYI,1461.1106374981111
SOPHIA REINEKE,1401.553104976317
KHAIRUNNEETA MOHD AFENDY,1296.8584425584804
LUIS EDUARDO AIRES,1389.8264306117028
KLARA HIMMELOVA,1319.2599324369505
JUAN GRUNWALDT,1441.0057766429175
PARK JEONGBIN,1423.5703047173915
IGNACIO GARCIA CANTELLI,1380.0966939515522
HENRIQUE ALBUQUERQUE,1384.4210252062974
AUDREY FOLEY,1354.7160831314693
MANSY KHOULOUD,1284.8497961849105
TOMAS ELIAS,1374.5411383959965
GESA PAPENTHIN,1335.9210967584045
KANAKO HIRUTA,1479.7509002840127
ALICE WOODINGS HYDE,1485.264044323364
MINA FERGUSON,1521.9335011089117
MOMOKO TADA,1420.9582640209621
RAFAEL TRINDADE,1379.015619800892
VAISHNAVI VEERAVAMSHAMA,1237.5675569360687
KATARIINA ROIHU,1411.2626124096992
