Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
PAIS Helen / KALEV AUSMAN Helen,7,49erFX,15,G,33,,164,144,Semaine Olympique Francaise De Voile 2022
HIGHFIELD Molly / CHOI Sandy,7,49erFX,11,G,34,,168,148,Semaine Olympique Francaise De Voile 2022
HENRIKSSON Julia /PETTERSON Caroline,7,49erFX,DNF 20,G,35,,174,154,Semaine Olympique Francaise De Voile 2022
MOSS Alice / BERNTSSON Ebba,7,49erFX,DNC 20,G,36,,184,164,Semaine Olympique Francaise De Voile 2022
TUDELA Diana / CRL BARRON Adriana,7,49erFX,18,G,37,,188,168,Semaine Olympique Francaise De Voile 2022
TOMAR Harshita / SHERVEGAR Sweta,7,49erFX,DNF 20,G,38,,200,180,Semaine Olympique Francaise De Voile 2022
GRAEL Martine / RYC KUNZE Kahena,7,49erFX,4,G,1,,81,68,Semaine Olympique Francaise De Voile 2022
ROBLE Stephanie / SHEA Margaret,7,49erFX,6,G,2,,89,77,Semaine Olympique Francaise De Voile 2022
NOESS Helene / VOW RONNINGEN Marie /,7,49erFX,1,G,3,,98,79,Semaine Olympique Francaise De Voile 2022
BOBECK Vilma / KSSSNETZLER Rebecca /,7,49erFX,14,G,4,,103,83,Semaine Olympique Francaise De Voile 2022
BRANZ Maria Sol / CARRANZA SAROLI,7,49erFX,6,G,5,,101.88,84.88,Semaine Olympique Francaise De Voile 2022
GRANIER Lara / SRRIOU Amélie,7,49erFX,3,G,6,,119,99,Semaine Olympique Francaise De Voile 2022
MAENHAUT Isaura / GEURTS Anouk,7,49erFX,8,G,7,,120,100,Semaine Olympique Francaise De Voile 2022
GERMANI Jana / TPKBERTUZZI Giorgia,7,49erFX,5,G,8,,118,100,Semaine Olympique Francaise De Voile 2022
MALONEY Alexandra / HOBBS Olivia,7,49erFX,5,G,9,,127,110,Semaine Olympique Francaise De Voile 2022
MELZACKA Aleksandra JANKOWIAK Sandra,7,49erFX,2,G,10,,152,134,Semaine Olympique Francaise De Voile 2022
