Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
CRIVELLI VISCONCALABRO Giulio,7,49er,5,G,14,,174.0,143.0,Semaine Olympique Francaise De Voile 2022
DICKSON Robert TBC Tbc,7,49er,13,G,15,,177.0,145.0,Semaine Olympique Francaise De Voile 2022
BARRIO Andres TORRADO Antonio,7,49er,3,G,16,,184.0,156.0,Semaine Olympique Francaise De Voile 2022
FERRARESE Simone CHISTE Leonardo,7,49er,DNS 32,G,17,,208.0,176.0,Semaine Olympique Francaise De Voile 2022
NEEDHAM Thomas TURNER Joel,7,49er,14,G,18,,200.0,177.0,Semaine Olympique Francaise De Voile 2022
PRETTNER Keanu FLACHBERGER Jakob,7,49er,11,G,19,,205.0,180.0,Semaine Olympique Francaise De Voile 2022
FISCHER Kevin JAUVIN Yann,7,49er,8,G,20,,205.0,180.0,Semaine Olympique Francaise De Voile 2022
LEFEBVRE Yannick PELSMAEKERS Tom,7,49er,10,G,21,,218.0,187.0,Semaine Olympique Francaise De Voile 2022
VAN VUGT PimHOUTMAN Scipio,7,49er,9,G,22,,229.0,197.0,Semaine Olympique Francaise De Voile 2022
COLLEY JimCONNOR Shaun,7,49er,18,G,23,,234.0,208.0,Semaine Olympique Francaise De Voile 2022
ROBINS NickBUDDEN Daniel,7,49er,6,G,24,,242.0,210.0,Semaine Olympique Francaise De Voile 2022
FERGUSON Jack PAUL Max,7,49er,19,G,25,,241.0,211.0,Semaine Olympique Francaise De Voile 2022
TAYLOR Chris GRUMMETT James,7,49er,7,G,26,,243.0,212.0,Semaine Olympique Francaise De Voile 2022
ANESSI Marco GAMBA Edoardo,7,49er,16,G,27,,240.0,212.0,Semaine Olympique Francaise De Voile 2022
MEGGENDORFERSPRANGER Andreas,7,49er,20,G,28,,271.0,240.0,Semaine Olympique Francaise De Voile 2022
SALSKOV-IVERSENNIELSEN Markus,7,49er,23,G,29,,273.0,244.0,Semaine Olympique Francaise De Voile 2022
GUILFOYLE Seafra DURCAN Johnny,7,49er,13,G,30,,292.0,263.0,Semaine Olympique Francaise De Voile 2022
STINGELE Maximilian SCHEEL Linov,7,49er,19,G,31,,175.0,149.0,Semaine Olympique Francaise De Voile 2022
BACON SamGAUTREY Henry,7,49er,15,G,32,,184.0,152.0,Semaine Olympique Francaise De Voile 2022
SAKAI Akira AYLSWORTH Russel,7,49er,21,G,33,,188.0,156.0,Semaine Olympique Francaise De Voile 2022
RICHNER Joshua SCHARER Nilo,7,49er,25,G,34,,183.0,156.0,Semaine Olympique Francaise De Voile 2022
GLOGOWSKI AdamKRUSIEC Maciej,7,49er,17,G,35,,189.0,157.0,Semaine Olympique Francaise De Voile 2022
TORRES Albert ELIAS Aretz,7,49er,20,G,36,,189.0,157.0,Semaine Olympique Francaise De Voile 2022
PETERS James HUGUES Alexander,7,49er,-27,G,37,,189.0,162.0,Semaine Olympique Francaise De Voile 2022
NYBORG Daniel LEHM SLETTEN,7,49er,14,G,38,,190.0,165.0,Semaine Olympique Francaise De Voile 2022
HOLMAN Arran TAYLOR James,7,49er,22,G,39,,199.0,169.0,Semaine Olympique Francaise De Voile 2022
BURTON TomHOFFMAN Simon,7,49er,9,G,40,,203.0,171.0,Semaine Olympique Francaise De Voile 2022
LYNGBEK Phillip FUGLBJERG Mads,7,49er,12,G,41,,208.0,176.0,Semaine Olympique Francaise De Voile 2022
